artists,track_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Discordance Axis,Information Sniper,0.37,0.964,7,-10.143,0.0847,2.37e-05,0.893,0.3,0.0393,104.993,grindcore
Nasum,Slaves To the Grind,0.239,0.961,1,-5.569,0.185,4.02e-06,0.151,0.322,0.21,121.329,grindcore
The Berzerker,Heavily Medicated,0.385,0.988,9,-3.466,0.163,1.76e-06,0.904,0.279,0.104,120.009,grindcore
Insult,Everytime I Puke I Think of You,0.301,0.933,8,-6.498,0.0619,0.00457,0.000717,0.16,0.808,92.338,grindcore
Apartment 213,Severed,0.37,0.7,7,-11.577,0.0451,1.51e-05,0.422,0.134,0.189,124.738,grindcore
The Red Chord,Floating Through The Vein,0.331,0.987,6,-4.573,0.142,8.63e-05,0.165,0.0658,0.181,106.604,grindcore
disrupt,For What?,0.221,0.965,7,-4.412,0.103,5.09e-06,0.017,0.132,0.427,106.979,grindcore
Impetigo,Defiling the Grave,0.284,0.934,5,-3.805,0.293,0.0107,0.0347,0.362,0.245,144.683,grindcore
Discordance Axis,Aperture of Pinholes,0.346,0.982,6,-11.607,0.0873,0.000315,0.949,0.825,0.0752,107.154,grindcore
Phobia,Ultimate Suffering,0.23,0.993,1,-2.79,0.112,4.09e-05,0.917,0.174,0.106,122.15,grindcore
Enemy Soil,Fall of Empire,0.322,0.989,11,-4.849,0.159,1.87e-05,0.0,0.17,0.101,120.951,grindcore
Hatred Surge,God Complex,0.201,0.98,6,-6.989,0.105,1.26e-05,0.683,0.258,0.12,80.085,grindcore
disrupt,Faction Disaster,0.369,0.974,5,-5.825,0.113,1.5e-05,0.000353,0.379,0.491,108.92,grindcore
Regurgitate,Complete Rectal Prolapse,0.135,0.991,8,-3.786,0.238,3.3e-06,0.923,0.12,0.196,186.843,grindcore
disrupt,An End to White Rule,0.311,0.995,9,-5.112,0.111,2.99e-06,0.0122,0.309,0.347,109.961,grindcore
Apartment 213,Kill for Christ,0.237,0.956,0,-3.787,0.0977,0.000247,0.548,0.593,0.2,88.055,grindcore
Impetigo,Staph Terrorist,0.207,0.962,1,-4.096,0.0864,0.00641,0.897,0.314,0.302,95.791,grindcore
Nasum,Breach of Integrity,0.2,0.987,9,-5.723,0.16,1.31e-06,0.528,0.143,0.138,115.847,grindcore
Impetigo,Harbringer of Death,0.239,0.936,7,-4.25,0.148,2.32e-05,0.392,0.12,0.288,82.401,grindcore
disrupt,Without Sincerity,0.328,0.974,8,-4.764,0.091,3.12e-06,0.00014,0.258,0.697,114.3,grindcore
Aborted,Of Scabs and Boils,0.463,0.979,2,-5.0,0.136,2.59e-06,0.847,0.305,0.0909,107.55,grindcore
Mortician,Worms,0.209,0.868,7,-8.748,0.0572,2.49e-06,0.806,0.206,0.16,124.937,grindcore
Narcosis,Yo No Quiero,0.413,0.883,2,-7.381,0.0577,0.26,1.78e-05,0.112,0.361,89.768,grindcore
Mortician,Abolition,0.348,0.895,0,-8.611,0.0881,1.49e-05,0.9,0.12,0.339,125.437,grindcore
Exhumed,Ripping Death,0.393,0.991,1,-4.52,0.193,5.17e-05,3.21e-06,0.263,0.0547,100.062,grindcore
Anaal Nathrakh,Terror In The Mind Of God,0.225,0.254,5,-2.14,0.13,1.5e-06,0.654,0.447,0.146,110.63,grindcore
Anaal Nathrakh,Blood Eagles Carved On The Backs Of Innocents,0.165,0.773,5,-1.756,0.109,2.36e-06,0.707,0.324,0.0426,123.623,grindcore
Full Of Hell,Amber Mote,0.173,0.933,4,-5.854,0.106,0.00011,0.792,0.291,0.0389,127.725,grindcore
Exhumed,The Red Death,0.246,0.984,6,-5.129,0.184,1.71e-05,7.46e-05,0.315,0.142,97.298,grindcore
Mortician,Morbid Butchery,0.39,0.736,4,-10.745,0.115,0.00165,0.205,0.113,0.365,93.014,grindcore
Exhumed,Vagitarian II,0.183,0.894,2,-7.954,0.0995,1.01e-06,0.923,0.253,0.163,99.231,grindcore
Mortician,Dr. Gore,0.262,0.712,10,-13.353,0.0906,0.00558,0.775,0.37,0.319,125.433,grindcore
Anaal Nathrakh,Man at C&A (Bonus Track),0.273,0.863,7,-3.591,0.118,2.02e-05,0.676,0.0441,0.123,139.516,grindcore
Exhumed,Sepulchural Slaughter,0.229,0.932,1,-7.318,0.156,1.87e-06,0.914,0.147,0.216,118.476,grindcore
Anaal Nathrakh,Paragon Pariah,0.374,0.956,3,-3.897,0.106,1.95e-06,0.344,0.292,0.151,110.1,grindcore
Impetigo,Breakfast At the Manchester Morgue - Let Sleeping Corpses Lie,0.233,0.906,8,-4.474,0.216,0.0503,0.252,0.0986,0.16,79.447,grindcore
Mortician,Eaten Alive by Maggots,0.297,0.817,9,-10.017,0.121,0.00062,0.297,0.18,0.0744,125.225,grindcore
Mortician,Redrum / Outro,0.192,0.655,2,-11.39,0.0785,0.000241,0.787,0.649,0.157,158.341,grindcore
ACxDC,Matapacos,0.249,0.985,6,-2.778,0.118,1.45e-05,0.878,0.314,0.0828,121.863,grindcore
ACxDC,We Kill Christians,0.177,0.95,0,-8.549,0.317,1.54e-05,0.0387,0.108,0.0733,163.944,grindcore
Cattle Decapitation,The Prophets of Loss,0.284,0.978,11,-3.395,0.0951,5.08e-06,0.894,0.489,0.149,116.297,grindcore
Venomous Concept,Toxic Kiss,0.196,0.998,9,-0.921,0.0816,0.0022,0.0,0.441,0.027,110.118,grindcore
Nasum,The Deepest Hole,0.213,0.988,1,-4.396,0.143,1.26e-06,0.553,0.417,0.042,123.222,grindcore
ACxDC,Propaganda of the Deed,0.223,0.93,8,-3.491,0.125,0.000177,0.749,0.308,0.37,148.513,grindcore
Fluoride,Hoax,0.188,0.934,0,-4.57,0.0939,1.78e-06,0.822,0.625,0.0429,92.32,grindcore
Cattle Decapitation,Death Atlas,0.3,0.938,8,-5.062,0.0791,2.25e-05,0.65,0.0875,0.0723,112.154,grindcore
Impaled,Flesh & Blood,0.442,0.951,11,-5.72,0.123,1.04e-05,0.555,0.19,0.182,99.928,grindcore
Sex Prisoner,Vanity,0.268,0.99,7,-5.689,0.173,0.000356,0.449,0.5,0.0417,82.42,grindcore
Milking the Goatmachine,Ace of Spades,0.369,0.963,2,-4.066,0.111,3.74e-05,0.669,0.587,0.215,158.044,grindcore
Manger Cadavre?,Epílogo,0.244,0.939,7,-4.964,0.126,4.91e-05,0.532,0.0819,0.0546,101.255,grindcore
Milking the Goatmachine,Here Comes the Wolf,0.388,0.979,2,-5.213,0.0764,0.00232,0.821,0.153,0.232,175.025,grindcore
Manger Cadavre?,Fracasso,0.209,0.801,1,-8.36,0.084,5.58e-05,0.936,0.134,0.506,174.701,grindcore
The Tony Danza Tapdance Extravaganza,The Union,0.22,0.986,8,-4.968,0.205,4.77e-05,0.54,0.065,0.0386,149.318,grindcore
Fluoride,Cool Guy Backed Hard,0.114,0.988,7,-5.299,0.145,0.000153,0.901,0.777,0.0295,95.125,grindcore
Manger Cadavre?,Neocolonialismo,0.155,0.966,4,-5.226,0.139,0.000577,0.625,0.325,0.244,153.574,grindcore
Nasum,The Everlasting Shame,0.225,0.975,1,-6.265,0.15,1.45e-06,0.831,0.262,0.21,122.181,grindcore
Soilent Green,Slapfuck,0.324,0.887,5,-8.966,0.0722,0.00607,0.732,0.15,0.345,98.974,grindcore
Sex Prisoner,Lamp Lighter Inn,0.173,0.917,0,-4.835,0.127,3.1e-06,0.508,0.312,0.474,161.38,grindcore
Fuck On the Beach,Betrayed Again,0.243,0.959,4,-2.096,0.0851,1.29e-06,0.94,0.0314,0.363,105.603,grindcore
ACxDC,Anti-Christ Demon Core,0.26,0.848,1,-9.39,0.0747,2.61e-05,0.796,0.131,0.376,119.698,grindcore
Capitalist Casualties,Beggars Can't Be Choosers,0.291,0.86,3,-13.326,0.0732,0.000154,0.983,0.361,0.657,156.917,grindcore
Iron Lung,Riot in the Infirmary,0.151,0.995,9,-9.147,0.173,6.37e-05,0.488,0.216,0.0338,168.55,grindcore
The Tony Danza Tapdance Extravaganza,I Bet Heaven Looks Alot Like Talledega,0.249,0.704,10,-9.094,0.116,2.35e-06,0.507,0.0808,0.419,114.702,grindcore
Sex Prisoner,Half Smile,0.199,0.961,7,-5.12,0.218,1.67e-05,0.527,0.563,0.226,168.246,grindcore
Coldworker,The Black Dog Syndrome,0.202,0.977,1,-4.243,0.0809,1.55e-06,0.837,0.322,0.378,110.434,grindcore
Flesh Parade,Bite And Get In It,0.235,0.832,10,-9.762,0.0898,1.03e-05,0.208,0.0781,0.353,110.748,grindcore
Capitalist Casualties,Fornicators,0.28,0.996,6,-2.435,0.0977,0.000157,0.0011,0.144,0.322,141.159,grindcore
The Tony Danza Tapdance Extravaganza,Suicides Best Friend,0.237,0.993,10,-5.445,0.265,3.4e-05,0.517,0.164,0.038,149.152,grindcore
The Tony Danza Tapdance Extravaganza,5 Deep on Charlie,0.305,0.958,1,-6.471,0.167,9.44e-06,0.739,0.292,0.137,122.803,grindcore
The Tony Danza Tapdance Extravaganza,God Ain't Got No Use for No 180lb. Bag of Sugar,0.276,0.857,9,-9.046,0.0687,4.15e-06,0.868,0.155,0.396,133.034,grindcore
Carcass,This Is Your Life,0.314,0.933,4,-7.368,0.0873,1.82e-05,0.51,0.234,0.583,149.535,grindcore
Carcass,Thrasher's Abattoir,0.148,0.998,6,-3.958,0.232,3.1e-06,0.184,0.184,0.0615,197.312,grindcore
Soilent Green,Sticks and Stones,0.342,0.973,1,-6.807,0.228,0.00101,0.791,0.443,0.26,110.114,grindcore
Cattle Decapitation,An Exposition of Insides,0.252,0.998,3,-3.31,0.242,9.58e-05,0.652,0.302,0.0651,147.067,grindcore
Soilent Green,Cold-Steel Kiss,0.23,0.947,1,-6.995,0.127,0.00136,0.924,0.282,0.332,93.948,grindcore
Cattle Decapitation,Alone At The Landfill,0.0903,0.964,5,-3.693,0.117,3.05e-05,0.726,0.294,0.0365,79.122,grindcore
Cattle Decapitation,Open Human Head Experiments with Bleach Laquer and Epoxy - 2021 Remastered Version,0.286,0.991,11,-4.332,0.166,0.00304,4.94e-06,0.301,0.0652,116.564,grindcore
Soilent Green,Breed In Weakness,0.283,0.947,1,-5.98,0.111,0.000323,0.645,0.357,0.349,94.087,grindcore
Cattle Decapitation,Cannibalistic Invasivorism,0.271,0.989,1,-3.271,0.122,7.84e-06,0.736,0.286,0.257,122.206,grindcore
Cattle Decapitation,Lips & Assholes,0.28,0.979,1,-6.336,0.196,0.00567,0.218,0.452,0.113,124.83,grindcore
Cattle Decapitation,Headcheese - 2021 Remastered Version,0.433,0.997,11,-4.495,0.234,0.0182,4.49e-06,0.367,0.0375,125.855,grindcore
Carcass,A Congealed Clot of Blood,0.211,0.98,6,-4.316,0.213,7.29e-06,0.0171,0.131,0.105,167.846,grindcore
Cattle Decapitation,Polyps,0.259,0.98,6,-5.588,0.19,0.0478,0.0861,0.314,0.175,135.652,grindcore
Carcass,The Granulating Dark Satanic Mills,0.355,0.982,6,-4.614,0.0916,1.07e-05,0.0528,0.439,0.352,85.846,grindcore
Cattle Decapitation,The Earthling,0.268,0.977,1,-5.519,0.187,0.0179,1.32e-06,0.447,0.224,123.173,grindcore
Cattle Decapitation,Joined at the Ass,0.411,0.906,1,-11.763,0.159,1.87e-06,0.957,0.0755,0.321,122.028,grindcore
Cattle Decapitation,Bereavement,0.24,0.967,4,-3.821,0.132,4.08e-06,0.778,0.477,0.0659,97.262,grindcore
Disgorge,Manipulation of Faith,0.274,0.992,2,-6.424,0.135,0.000474,0.901,0.179,0.0394,121.878,grindcore
Disgorge,Consume the Forsaken,0.293,0.995,2,-7.009,0.171,0.000672,0.851,0.172,0.0365,128.871,grindcore
Disgorge,Carnally Decimated,0.296,0.952,11,-7.608,0.117,0.000485,0.934,0.323,0.236,108.69,grindcore
Disgorge,Malodorous Oblation,0.26,0.946,2,-7.824,0.135,0.000133,0.921,0.108,0.313,111.094,grindcore
Death Toll 80K,Trampled,0.171,0.993,5,-3.184,0.139,3.52e-06,0.867,0.27,0.0369,122.623,grindcore
Gorgasm,Preserved for Pleasure,0.238,0.995,5,-3.899,0.184,0.00157,0.886,0.403,0.04,134.714,grindcore
Death Toll 80K,Statistics,0.228,0.995,1,-3.281,0.106,2.49e-06,0.803,0.301,0.0238,92.409,grindcore
Triac,Grab Everything That Kills,0.203,0.853,3,-8.874,0.0793,0.0,0.819,0.0483,0.17,115.769,grindcore
Death Toll 80K,Piss-Stained Press,0.171,0.644,6,-6.484,0.0901,1.26e-06,0.958,0.0948,0.0991,122.16,grindcore
ROT,Smile Stupidly,0.254,0.827,3,-9.118,0.0572,2.01e-05,0.00663,0.427,0.489,87.707,grindcore
Cäbränegrä,Ecce Homo,0.254,0.975,9,-6.774,0.0699,3.21e-05,0.727,0.228,0.103,160.774,grindcore
Sex Prisoner,Power Violence Wonderland,0.314,0.918,1,-6.485,0.124,4.36e-06,0.832,0.199,0.319,93.364,grindcore
Life is a Lie,Gasolina - Kusta Pässää,0.281,0.953,0,-5.629,0.115,2.09e-05,0.859,0.229,0.39,127.3,grindcore
Disgorge,Perverse Manifestation,0.345,0.995,2,-6.741,0.127,0.000491,0.928,0.288,0.0696,126.84,grindcore
Death Toll 80K,Cycle of Misery,0.106,0.968,5,-6.902,0.0888,1.35e-06,0.775,0.1,0.0882,155.543,grindcore
Triac,Growing Meat,0.24,0.989,6,-6.179,0.15,1.35e-06,0.819,0.333,0.0771,111.763,grindcore
Triac,Pure Joy,0.273,0.929,6,-6.343,0.13,1.27e-06,0.895,0.109,0.0388,109.603,grindcore
Cäbränegrä,Exploração Midiática,0.226,0.987,0,-6.822,0.141,3.41e-06,0.653,0.294,0.133,106.698,grindcore
Dropdead,Survival,0.36,0.989,11,-11.76,0.127,0.00391,0.942,0.389,0.213,102.794,grindcore
Last Days Of Humanity,Necrotic Eruption,0.278,0.763,7,-17.654,0.064,3.03e-05,0.918,0.319,0.234,127.742,grindcore
Dropdead,The Enemy Within (Part Two),0.24,0.973,11,-4.157,0.118,4.77e-06,0.995,0.0876,0.0307,111.737,grindcore
Fukpig,Nuclear Pricks,0.426,0.9,6,-4.027,0.175,5.56e-06,0.937,0.393,0.462,117.916,grindcore
Agoraphobic Nosebleed,Flamingo Snuff,0.246,0.978,1,-3.77,0.0993,1.24e-06,0.896,0.203,0.141,121.34,grindcore
Graf Orlock,A Waste of Ammo,0.373,0.948,7,-6.379,0.26,0.000498,0.0,0.906,0.12,88.074,grindcore
Last Days Of Humanity,Tumorous Parenchyma of Red Corpuscles,0.273,0.979,2,-3.765,0.23,1.78e-05,0.272,0.769,0.251,141.239,grindcore
Sex Prisoner,Church Key,0.323,0.963,2,-4.97,0.178,1.51e-05,0.668,0.191,0.262,105.389,grindcore
Iron Lung,Condemned,0.255,0.993,1,-5.209,0.195,5.7e-06,0.814,0.477,0.0262,72.445,grindcore
Mumakil,Brothers in Slavery,0.268,0.931,8,-4.027,0.116,1.8e-06,0.935,0.33,0.211,113.012,grindcore
Sex Prisoner,Cauldron of Hate,0.218,0.967,11,-5.233,0.268,1.09e-05,0.692,0.518,0.172,167.638,grindcore
Last Days Of Humanity,Running Through the Blood (Fear of God),0.235,0.985,5,-4.8,0.174,0.000409,0.892,0.602,0.105,117.885,grindcore
Disfear,A Race For Power,0.267,0.988,8,-6.581,0.107,2.32e-06,0.906,0.0328,0.146,134.718,grindcore
Graf Orlock,Corpserate Greed,0.379,0.889,0,-7.553,0.513,0.00168,0.0,0.632,0.222,179.235,grindcore
Last Days Of Humanity,Distinguishing Between Validuty and Utility of Psychiatric Diagoses,0.26,0.977,0,-3.606,0.233,0.000109,0.0142,0.929,0.147,125.091,grindcore
Last Days Of Humanity,Reeking Mush Beneath Each Cavity,0.311,0.981,1,-5.816,0.136,0.00127,0.908,0.365,0.62,121.462,grindcore
Agoraphobic Nosebleed,Half Dead,0.322,0.909,4,-6.254,0.0524,1.86e-05,0.0291,0.134,0.0793,112.117,grindcore
Last Days Of Humanity,Entangled in Septic Gore,0.322,0.759,5,-18.737,0.061,3.86e-05,0.938,0.225,0.281,127.409,grindcore
Autopsy,Savagery,0.238,0.956,8,-5.126,0.123,4.71e-06,0.22,0.0653,0.179,104.814,grindcore
Last Days Of Humanity,Consuming Purulent Sputum,0.353,0.993,3,-3.914,0.18,0.000187,0.934,0.0357,0.364,126.6,grindcore
Autopsy,Brain Damage,0.325,0.976,4,-6.707,0.108,0.0172,0.479,0.258,0.29,92.175,grindcore
Last Days Of Humanity,"Examination of Reeking Putrifying Organs, Tissues, Body Fluids",0.273,0.862,2,-7.693,0.127,0.00472,0.0358,0.313,0.113,79.292,grindcore
Disfear,Rat Race,0.319,0.993,8,-4.993,0.136,1.47e-06,0.151,0.405,0.259,117.598,grindcore
Last Days Of Humanity,Molecular Pathological Epidemiology of Colorectal Neoplasia,0.211,0.988,5,-4.83,0.219,0.000304,0.0364,0.839,0.0928,140.742,grindcore
Sore Throat,Alcoholics Unanimous,0.214,0.707,4,-8.642,0.0349,9.06e-05,0.436,0.12,0.105,93.341,grindcore
Carcass,Frenzied Detruncation,0.108,0.521,5,-15.304,0.127,5.52e-06,0.912,0.158,0.0378,92.538,grindcore
Autopsy,The Sick Get Sicker,0.155,0.916,1,-4.849,0.0623,8.08e-06,0.29,0.717,0.178,147.42,grindcore
Kadaverficker,Stuhlgewitter,0.501,0.955,9,-4.398,0.155,0.00541,0.000346,0.983,0.338,92.923,grindcore
Magrudergrind,Siphon Then Slit,0.346,0.999,0,-4.912,0.184,0.00225,0.00983,0.306,0.0375,137.923,grindcore
Extreme Noise Terror,Being And Nothing,0.171,0.98,4,-3.079,0.107,2.09e-06,0.786,0.33,0.037,120.156,grindcore
Extreme Noise Terror,Subliminal,0.241,0.882,8,-8.735,0.0792,2.88e-06,0.692,0.114,0.237,109.698,grindcore
Extreme Noise Terror,Think About It,0.286,0.959,11,-8.936,0.0603,7.11e-06,0.572,0.196,0.41,106.483,grindcore
Agathocles,Bunka Bunka Blues,0.174,0.9,9,-4.621,0.07,1.92e-06,0.94,0.17,0.249,153.747,grindcore
The County Medical Examiners,Casper's Dictum,0.21,0.988,7,-4.924,0.184,0.000396,0.778,0.0658,0.132,100.306,grindcore
Despise You,Guilty View,0.371,0.914,11,-4.019,0.0703,4.07e-05,0.214,0.0714,0.131,123.99,grindcore
Trap Them,Habitland,0.281,0.992,3,-3.976,0.142,6.72e-06,0.891,0.749,0.0588,103.782,grindcore
Axis Of Despair,Lockdown,0.32,0.95,9,-6.703,0.112,4e-05,0.915,0.208,0.0555,117.893,grindcore
Vomitory,The Dead Awaken,0.235,0.965,1,-3.932,0.128,6.36e-06,0.842,0.269,0.111,111.897,grindcore
Lock Up,Black Illumination,0.203,0.955,1,-6.524,0.149,4.22e-06,0.0373,0.0612,0.267,170.0,grindcore
Archagathus,Insanity Dog,0.227,0.975,8,-6.077,0.128,0.00131,0.385,0.456,0.115,123.48,grindcore
Axis Of Despair,Pawn Sacrifice,0.239,0.95,10,-6.577,0.155,0.00019,0.92,0.198,0.123,119.405,grindcore
Miasmatic Necrosis,Degloved,0.091,0.875,5,-5.851,0.145,5.55e-06,0.618,0.193,0.448,210.962,grindcore
Couple Skate,Bleeding Peptic Ulcer,0.216,0.964,8,-6.338,0.0717,0.0767,0.935,0.345,0.114,135.647,grindcore
Archagathus,Society's Dinner,0.217,0.86,7,-6.119,0.116,0.000224,0.938,0.7,0.133,115.222,grindcore
Trap Them,Speak Nigh,0.247,0.982,10,-4.261,0.172,1.36e-06,0.953,0.459,0.17,126.905,grindcore
Couple Skate,Don't Go in the Shower!!,0.255,0.985,11,-5.632,0.171,0.000117,0.903,0.267,0.0963,105.506,grindcore
Trap Them,Roam / Absent Civilians,0.229,0.995,1,-4.231,0.198,1.31e-06,4.55e-05,0.478,0.0821,114.635,grindcore
Trap Them,Guignol Serene,0.336,0.991,4,-3.799,0.148,1.31e-05,0.022,0.563,0.285,113.283,grindcore
Squash Bowels,Oust - Odor Eliminator,0.453,0.995,3,-2.36,0.173,1.5e-06,0.95,0.32,0.17,130.082,grindcore
Despise You,"Stillborn, Fuck It",0.2,0.981,9,-2.932,0.0911,8.42e-06,0.593,0.131,0.298,104.294,grindcore
Weekend Nachos,2009,0.166,0.856,9,-4.745,0.0805,0.00013,0.958,0.531,0.141,76.366,grindcore
Trap Them,Twitching in the Auras,0.55,0.943,0,-4.53,0.066,1.7e-05,0.613,0.283,0.184,120.08,grindcore
Trap Them,Stray of the Tongue,0.289,0.995,6,-4.15,0.112,1.36e-06,0.857,0.0333,0.0793,165.296,grindcore
Burnt By The Sun,Shooter McGavin,0.182,0.943,8,-4.036,0.0931,1.18e-05,0.887,0.047,0.285,85.678,grindcore
Axis Of Despair,Pre-Emptive Nuclear Strike,0.211,0.943,8,-6.738,0.145,6.14e-05,0.883,0.341,0.282,116.929,grindcore
Miasmatic Necrosis,Mucosanguineous Mess,0.203,0.9,6,-5.535,0.0949,3.62e-06,0.946,0.374,0.431,108.132,grindcore
Miasmatic Necrosis,Apotheosis Emissions of Malodorous Procedures,0.343,0.942,3,-5.078,0.105,1.64e-05,0.7,0.097,0.202,107.202,grindcore
Agathocles,Matadores Del Libertad,0.289,0.935,1,-4.963,0.222,1.57e-05,0.138,0.0797,0.288,147.029,grindcore
Miasmatic Necrosis,Tache Noire,0.266,0.881,1,-5.194,0.136,2.71e-06,0.879,0.282,0.403,111.338,grindcore
Miasmatic Necrosis,Secreting Sebaceous Cyst,0.292,0.979,6,-4.857,0.125,9.3e-06,0.676,0.371,0.269,107.502,grindcore
Implore,Abandoned Desires,0.251,0.939,1,-4.191,0.0987,6.12e-06,0.957,0.178,0.202,176.069,grindcore
Burnt By The Sun,Soundtrack To The Worst Movie Ever,0.293,0.955,6,-4.705,0.175,2.94e-05,0.948,0.0463,0.185,106.652,grindcore
Cripple Bastards,Non servire a niente (é la tua sorte),0.294,0.997,10,-2.606,0.187,3.84e-05,0.000883,0.298,0.196,113.76,grindcore
Lividity,Randomly Raped Rectum,0.258,0.97,6,-5.546,0.196,0.000324,0.883,0.251,0.432,94.51,grindcore
Anaal Nathrakh,The Age of Starlight Ends,0.242,0.404,10,-5.292,0.066,1.24e-05,0.61,0.44,0.102,99.973,grindcore
Trap Them,"Malengines Here, Where They Should Be",0.308,0.988,0,-3.654,0.121,1.94e-06,0.878,0.678,0.152,143.802,grindcore
Weekend Nachos,Dog Shit Slave,0.289,0.967,9,-3.468,0.162,8.28e-06,0.182,0.405,0.265,90.024,grindcore
Terrorizer,Infestation,0.356,0.981,1,-13.364,0.0602,3.62e-06,0.923,0.316,0.0469,114.094,grindcore
Weekend Nachos,Friendship,0.159,0.983,9,-2.468,0.0834,1.15e-05,0.39,0.536,0.246,82.935,grindcore
Anaal Nathrakh,Acheronta Movebimus,0.148,0.815,5,-4.133,0.114,2.05e-05,0.777,0.137,0.0717,136.617,grindcore
Aborted,Threading On Vermillion Deception,0.409,0.953,1,-6.239,0.0844,1.3e-05,0.175,0.467,0.163,99.954,grindcore
Weekend Nachos,Sickened No More,0.442,0.988,4,-4.194,0.149,1.56e-05,0.000357,0.132,0.18,95.253,grindcore
Anal Cunt,Song #5,0.209,0.854,7,-6.244,0.0727,0.000101,0.839,0.117,0.0904,115.959,grindcore
Anal Cunt,Grateful Dead,0.259,0.987,11,-6.946,0.124,4.05e-05,0.918,0.0426,0.0598,103.41,grindcore
Aborted,"Vermicular, Obscene, Obese",0.439,0.974,9,-6.267,0.13,4.02e-06,0.206,0.3,0.272,129.728,grindcore
Anal Cunt,Unbelievable,0.235,0.978,7,-6.829,0.316,0.006,0.583,0.243,0.303,84.614,grindcore
Terrorizer,Subterfuge,0.467,0.99,5,-4.133,0.196,3.74e-06,0.955,0.269,0.141,107.894,grindcore
Terrorizer,Ignorance and Apathy,0.489,0.996,10,-4.1,0.208,1.9e-06,0.904,0.331,0.14,107.449,grindcore
Misery Index,They Always Come Back,0.164,0.881,2,-4.169,0.0538,2.26e-06,0.0276,0.0638,0.208,97.107,grindcore
Pig Destroyer,Genital Grinder / Regurgitation of Giblets,0.223,0.985,3,-4.431,0.0806,1.94e-05,0.148,0.172,0.108,141.621,grindcore
Pig Destroyer,Hymn,0.309,0.993,7,-2.462,0.125,0.000173,0.00262,0.445,0.0769,128.162,grindcore
Pig Destroyer,Preacher Crawling (Remix),0.272,0.994,1,-4.188,0.265,1.36e-06,0.00394,0.266,0.0676,94.586,grindcore
Cloud Rat,Marionettes,0.113,0.967,1,-4.808,0.129,3.42e-06,0.919,0.131,0.134,183.518,grindcore
Blood Duster,Vulgar Taste,0.308,0.988,1,-5.796,0.113,1.36e-06,0.833,0.0897,0.0755,109.212,grindcore
P.L.F.,Renegade Incompetence,0.192,0.979,2,-4.777,0.147,1.69e-06,0.954,0.0479,0.0351,133.412,grindcore
P.L.F.,Final Act of Recalcitrance,0.173,0.992,10,-4.706,0.179,1.45e-06,0.799,0.293,0.0358,105.467,grindcore
Expurgo,Victimized,0.249,0.989,6,-4.988,0.0971,0.000362,0.0135,0.323,0.0313,109.351,grindcore
Internal Rot,Mental Hygiene,0.158,0.967,5,-6.834,0.125,1.3e-05,0.898,0.809,0.0391,132.053,grindcore
Tower of Rome,Girls That Smoke Gross Me Out To The Max,0.392,0.835,9,-5.722,0.0825,7.53e-05,0.688,0.0918,0.194,95.101,grindcore
Blood Duster,We Are the Word Police,0.458,0.951,11,-9.676,0.144,0.00242,0.871,0.549,0.203,110.505,grindcore
Brutal Truth,K.A.P.,0.144,0.837,2,-3.044,0.0829,3.11e-06,0.887,0.682,0.0306,94.099,grindcore
P.L.F.,Devious Persecution and Wholesale Slaughter,0.193,0.977,2,-4.776,0.14,1.79e-06,0.878,0.359,0.0358,105.324,grindcore
The Red Chord,Face Area Solution,0.312,0.978,0,-4.563,0.191,0.000175,0.0247,0.298,0.0632,99.681,grindcore
Internal Rot,Long Pig,0.158,0.927,8,-6.422,0.109,2.38e-05,0.863,0.338,0.038,131.857,grindcore
Blood Duster,Big Fat Arse,0.406,0.882,11,-9.099,0.0889,0.000489,0.063,0.786,0.742,79.191,grindcore
Deterioration,Compound Plans,0.354,0.952,10,-8.167,0.0898,0.345,0.885,0.3,0.663,76.83,grindcore
The Red Chord,Catalepsy,0.299,0.855,9,-6.346,0.152,9.57e-06,0.891,0.31,0.396,94.53,grindcore
Deterioration,Artillery Stockpile,0.302,0.828,6,-8.878,0.0953,0.0252,0.293,0.387,0.557,130.706,grindcore
Napalm Death,Diatribes,0.291,0.963,8,-7.258,0.133,0.000122,0.701,0.172,0.308,102.351,grindcore
Internal Rot,Orbiting Flesh,0.204,0.987,1,-3.735,0.131,0.00498,0.759,0.749,0.063,125.962,grindcore
The Red Chord,One Robot To Another,0.443,0.98,10,-4.451,0.169,5.9e-05,0.00645,0.357,0.399,100.317,grindcore
Internal Rot,Failed Organum,0.171,0.997,7,-3.586,0.118,0.00521,0.801,0.42,0.0294,122.223,grindcore
Deterioration,Blast Damage,0.357,0.754,10,-8.541,0.0907,0.00356,0.94,0.123,0.233,122.841,grindcore
Internal Rot,Eaten by Crabs,0.216,0.991,1,-4.011,0.156,0.00326,0.85,0.59,0.0381,84.568,grindcore
Internal Rot,Agonesiac,0.173,0.996,1,-3.581,0.127,0.00141,0.762,0.353,0.0344,117.603,grindcore
The Red Chord,Like a Train Through a Pigeon,0.227,0.95,10,-6.092,0.174,2.54e-06,0.748,0.212,0.366,87.225,grindcore
The Red Chord,Dragon Wagon,0.351,0.942,9,-4.449,0.122,0.000179,2.23e-06,0.421,0.427,116.135,grindcore
Exhumed,This Axe Was Made to Grind,0.173,0.979,7,-3.842,0.157,1.4e-06,0.943,0.162,0.0639,119.346,grindcore
